The English Martyrs School and Sixth Form College,4723
Aldercar Community Language College,4775
The Pingle School,4804
Fyndoune Community College,4879
Tudhoe Grange School,4882
Durham Community Business College for Technology and Enterprise,4891
Durham Johnston Comprehensive School,4892
Dene Community School of Technology,4893
St Leonard's Roman Catholic Voluntary Aided Comprehensive School,4898
South Bromsgrove Community High School,5035
Wreake Valley Community College,5276
John Cleveland College,5297
Lutterworth College,5298
Weavers School,5437
Alderman White School and Language College,5487
Rushcliffe School,5493
The Dukeries College,5500
South Wolds Community School,5501
The Trinity Catholic School,5503
The Mary Webb School and Science College,5546
Great Wyrley Performing Arts High School,5588
Painsley Catholic College,5630
Kenilworth School and Sports College,5718
Harris School,5723
Grace Academy Solihull,5770
South Worcestershire College,6004
Hereford Sixth Form College,6010
Gateway Sixth Form College,6041
Royal National College for the Blind,6235
Walsall Academy,6264
Jarrow School,6268
da Vinci Community College,6295
Sandwell Academy,6304
George Salter Academy,6331
The Bulwell Academy,6412
Nottingham University Samworth Academy,6421
Tudor Grange Academy Worcester,6453
Park Hall Academy,6476
Sidney Stringer Academy,6508
Shirebrook Academy,6509
Whitburn Church of England Academy,6639
"Ninestiles School, an Academy",6654
The Academy at Shotton Hall,6675
Kirk Hallam Community Technology and Sports College,6702
Lordswood Girls' School and Sixth Form Centre,6776
Alcester Grammar School,6800
Carlton le Willows Academy,6805
Hummersknott Academy,6920
Toot Hill School,6947
Aston Manor Academy,6949
Barr Beacon Language College,6952
Alderbrook Leading Edge School and Arts College,7018
Holyhead School,7040
King Edward VI Camp Hill School for Girls,7047
King Edward VI Handsworth School,7050
Kingstone High School,7065
Darlington School of Maths and Science,7103
Carre's Grammar School,7167
Longfield School,7174
The Mirus Academy,7212
The Corbet School Technology College,7241
Casterton Business & Enterprise College,7244
Whickham School,7257
Cannock Chase High School,7271
Berwick Academy,7354
"Carmel College, A Catholic Academy",7368
Consett Academy,7379
Framwellgate School Durham,7402
St John's Catholic School & Sixth Form Centre,7404
The King Edward VI School,7424
The Kingswinford School & Science College,7443
The Bluecoat Academy,7455
Joseph Leckie Community Technology College,7467
Hall Green School,7484
Sacred Heart Catholic High School,7796
St. Anthony's Girls' Catholic Academy,7798
North Pennine Learning Partnership,7805
St. Bede's Catholic School & Sixth Form College,7812
The Education Village,7814
Ponteland High School,7816
Haybridge High School,8104
St Bede's Catholic School & Sixth Form College,8106
St Joseph's RC Comprehensive School,8113
Arden Academy,8126
The RSA Academy,8140
Prendergast Ladywell Fields College,8211
All Saints Catholic School Mansfield NG19 6BW,8248
The Carlton Academy,8288
S.Peter's Collegiate School,8348
Ashington High School,8545
Heart Of England Sixth Form,8590
Kettering Science Academy,9070
The Co-operative Academy of Leeds,9079
St. Hilds Church of England School,9237
Michaela start,
Addington High School,3999
Bishop Thomas Grant Catholic Secondary School,3928
Blackfen School for Girls,3984
Blatchington Mill School and Sixth Form College,4921
Brentford School for Girls,4049
Carshalton Boys Sports College,6907
Carshalton High School for Girls,6905
Chipping Sodbury School,4565
Conisborough College,3934
Coulsdon Sixth Form College,5803
Downend Comprehensive School,4563
Dunraven School,7081
Gordano School,6933
Harris Academy Falconwood,6410
Harris Academy Merton,6166
Hayle Community School,4746
Heathfield Community College,4907
Hillview School for Girls,7089
Lambeth Academy,6299
Miltoncross School,6187
Orchard School Bristol,8074
Plymstock School,6752
Saltash.net community school,6759
Slough and Eton CofE Business and Enterprise College,7218
St Catherine's Catholic School for Girls,7393
St John the Baptist RC Secondary School,9265
The Commonweal School,7151
The Forest School,5731
The John Roan School,3899
The Neville Lovett Community School,8235
The Norton Knatchbull School,5153
The West Somerset Community College,6903
The Wye Valley School,4648
Thomas More Catholic School,4006
Uplands Community College,4911
Woodlands Community College,5012
